4,baidu.com,
13,jd.com,
23,xinhuanet.com,
29,myshopify.com,'404, message=''Not Found'', url=URL(''http://myshopify.com'')'
35,zhanqi.tv,
41,microsoftonline.com,Connection timeout to host http://microsoftonline.com
144,rednet.cn,
145,163.com,Connection timeout to host http://163.com
187,godaddy.com,[Errno 104] Connection reset by peer
202,hdfcbank.com,'503, message=''Service Temporarily Unavailable'', url=URL(''https://www.hdfcbank.com/'')'
206,momoshop.com.tw,
213,shaparak.ir,Connection timeout to host http://shaparak.ir
221,uol.com.br,
231,subject.tmall.com,Connection timeout to host https://error.taobao.com/app/tbhome/common/error.html
271,googlevideo.com,
281,cloudfront.net,Cannot connect to host cloudfront.net:80 ssl:default [None]
297,trendingnow.video,'403, message=''Forbidden'', url=URL(''http://trendingnow.video'')'
300,jiameng.com,'Cannot connect to host jiameng.com:80 ssl:default [Connect call failed (''127.0.0.1'', 80)]'
330,wixsite.com,Cannot connect to host wixsite.com:80 ssl:default [None]
332,gmw.cn,Connection timeout to host http://gmw.cn
339,51sole.com,'503, message=''Service Unavailable'', url=URL(''http://www.51sole.com/'')'
341,cnnic.cn,Connection timeout to host http://cnnic.cn
364,docusign.net,
367,twimg.com,Cannot connect to host twimg.com:80 ssl:default [None]
404,myworkday.com,Connection timeout to host http://myworkday.com
412,104.com.tw,
416,ebc.net.tw,
422,crabsecret.tmall.com,Connection timeout to host http://crabsecret.world.tmall.com/
425,tencent.com,Timeout on reading data from socket
428,banvenez.com,Cannot connect to host banvenez.com:80 ssl:default [None]
452,58.com,
481,bp.blogspot.com,Cannot connect to host bp.blogspot.com:80 ssl:default [None]
490,genius.com,'503, message=''Service Temporarily Unavailable'', url=URL(''http://genius.com'')'
506,shimo.im,Connection timeout to host https://shimo.im/
510,ibicn.com,Timeout on reading data from socket
529,sii.cl,Connection timeout to host http://sii.cl
532,redbubble.com,'403, message=''Forbidden'', url=URL(''https://www.redbubble.com/'')'
539,axisbank.co.in,Cannot connect to host axisbank.co.in:80 ssl:default [None]
540,caigou2003.com,
555,cpic.com.cn,Connection timeout to host http://cpic.com.cn
559,gstatic.com,'404, message=''Not Found'', url=URL(''http://www.gstatic.com/'')'
566,srvtrck.com,'503, message=''Service Unavailable'', url=URL(''http://srvtrck.com'')'
581,storiespace.com,
593,nhk.or.jp,Cannot connect to host nhk.or.jp:80 ssl:default [None]
603,taleo.net,
604,uzone.id,Timeout on reading data from socket
606,myworkdayjobs.com,'Cannot connect to host myworkdayjobs.com:80 ssl:default [Connect call failed (''127.0.0.1'', 80)]'
614,businessinsider.com,Timeout on reading data from socket
616,lining.tmall.com,Connection timeout to host http://lining.world.tmall.com/
617,51yes.com,'400, message=''Bad Request'', url=URL(''http://51yes.com'')'
632,pxto.com.cn,Cannot connect to host pxto.com.cn:80 ssl:default [None]
651,maniform.tmall.com,Connection timeout to host https://maniform.world.tmall.com/
656,haoyer.com,
658,betgorebysson.club,Cannot connect to host betgorebysson.club:80 ssl:default [None]
663,kissanime.ru,'503, message=''Service Temporarily Unavailable'', url=URL(''https://kissanime.ru/'')'
678,banesconline.com,Cannot connect to host banesconline.com:80 ssl:default [None]
684,chinamenwang.com,Connection timeout to host http://chinamenwang.com
690,anta.tmall.com,Connection timeout to host https://anta.world.tmall.com/
692,home77.com,Timeout on reading data from socket
698,babyschool.com.cn,Cannot connect to host babyschool.com.cn:80 ssl:default [None]
712,gucn.tmall.com,Connection timeout to host http://gucn.tmall.com
720,eland.tmall.com,Connection timeout to host http://eland.world.tmall.com/
748,eee114.com,'502, message=''Bad Gateway'', url=URL(''http://www.eee114.com/'')'
764,lnkam.com,Cannot connect to host lnkam.com:80 ssl:default [None]
767,chinafloor.cn,Connection timeout to host http://chinafloor.cn
773,chinanetrank.com,
779,nicsorts-accarade.com,'404, message='''', url=URL(''http://nicsorts-accarade.com'')'
787,99114.com,Connection timeout to host http://99114.com
801,lieyunwang.com,
