4,baidu.com,
7,sohu.com,Connection timeout to host http://sohu.com
13,jd.com,
29,myshopify.com,'404, message=''Not Found'', url=URL(''http://myshopify.com'')'
41,microsoftonline.com,Connection timeout to host http://microsoftonline.com
98,ettoday.net,
144,rednet.cn,
145,163.com,Connection timeout to host http://163.com
187,godaddy.com,[Errno 104] Connection reset by peer
202,hdfcbank.com,'503, message=''Service Temporarily Unavailable'', url=URL(''https://www.hdfcbank.com/'')'
206,momoshop.com.tw,
213,shaparak.ir,Connection timeout to host http://shaparak.ir
221,uol.com.br,
231,subject.tmall.com,Timeout on reading data from socket
264,list.tmall.com,Connection timeout to host https://list.tmall.com/
271,googlevideo.com,
281,cloudfront.net,Cannot connect to host cloudfront.net:80 ssl:default [None]
293,cnzz.com,Connection timeout to host https://www.umeng.com/
297,trendingnow.video,'403, message=''Forbidden'', url=URL(''http://trendingnow.video'')'
300,jiameng.com,'Cannot connect to host jiameng.com:80 ssl:default [Connect call failed (''127.0.0.1'', 80)]'
330,wixsite.com,Cannot connect to host wixsite.com:80 ssl:default [None]
332,gmw.cn,Connection timeout to host http://gmw.cn
339,51sole.com,Connection timeout to host http://51sole.com
341,cnnic.cn,Connection timeout to host http://cnnic.cn
364,docusign.net,
367,twimg.com,Cannot connect to host twimg.com:80 ssl:default [None]
398,ebay-kleinanzeigen.de,'421, message=''Misdirected Request'', url=URL(''https://ebay-kleinanzeigen.de/'')'
404,myworkday.com,Connection timeout to host http://myworkday.com
416,ebc.net.tw,
428,banvenez.com,Cannot connect to host banvenez.com:80 ssl:default [None]
481,bp.blogspot.com,Cannot connect to host bp.blogspot.com:80 ssl:default [None]
490,genius.com,'503, message=''Service Temporarily Unavailable'', url=URL(''http://genius.com'')'
503,focus.cn,Timeout on reading data from socket
529,sii.cl,Connection timeout to host http://sii.cl
532,redbubble.com,'403, message=''Forbidden'', url=URL(''https://www.redbubble.com/'')'
539,axisbank.co.in,Cannot connect to host axisbank.co.in:80 ssl:default [None]
540,caigou2003.com,
555,cpic.com.cn,Connection timeout to host http://cpic.com.cn
559,gstatic.com,'404, message=''Not Found'', url=URL(''http://www.gstatic.com/'')'
566,srvtrck.com,'503, message=''Service Unavailable'', url=URL(''http://srvtrck.com'')'
568,iyiou.com,
581,storiespace.com,
593,nhk.or.jp,Cannot connect to host nhk.or.jp:80 ssl:default [None]
603,taleo.net,
604,uzone.id,Timeout on reading data from socket
606,myworkdayjobs.com,'Cannot connect to host myworkdayjobs.com:80 ssl:default [Connect call failed (''127.0.0.1'', 80)]'
617,51yes.com,'400, message=''Bad Request'', url=URL(''http://51yes.com'')'
632,pxto.com.cn,Cannot connect to host pxto.com.cn:80 ssl:default [None]
658,betgorebysson.club,Cannot connect to host betgorebysson.club:80 ssl:default [None]
663,kissanime.ru,'503, message=''Service Temporarily Unavailable'', url=URL(''https://kissanime.ru/'')'
678,banesconline.com,Cannot connect to host banesconline.com:80 ssl:default [None]
684,chinamenwang.com,Connection timeout to host http://chinamenwang.com
692,home77.com,Timeout on reading data from socket
698,babyschool.com.cn,Cannot connect to host babyschool.com.cn:80 ssl:default [None]
707,youku.com,
748,eee114.com,'502, message=''Bad Gateway'', url=URL(''http://www.eee114.com/'')'
764,lnkam.com,Cannot connect to host lnkam.com:80 ssl:default [None]
767,chinafloor.cn,Connection timeout to host http://chinafloor.cn
773,chinanetrank.com,
779,nicsorts-accarade.com,'404, message='''', url=URL(''http://nicsorts-accarade.com'')'
787,99114.com,Connection timeout to host http://99114.com
803,exirbroker.com,Cannot connect to host exirbroker.com:80 ssl:default [None]
816,chaduo.com,'404, message=''Not Found'', url=URL(''http://chaduo.com'')'
832,chinaweiyu.com,Connection timeout to host http://chinaweiyu.com
833,9384.com,Cannot connect to host 9384.com:80 ssl:default [None]
834,business.site,Timeout on reading data from socket
835,vetogate.com,'503, message=''Service Temporarily Unavailable'', url=URL(''https://vetogate.com/'')'
836,mercantilbanco.com,Cannot connect to host mercantilbanco.com:80 ssl:default [None]
839,bbcollab.com,Connection timeout to host http://bbcollab.com
849,secureserver.net,'404, message=''Not Found'', url=URL(''https://www.secureserver.net/'')'
879,smalloweq.club,'502, message=''Bad Gateway'', url=URL(''http://smalloweq.club'')'
881,sq.cn,Cannot connect to host sq.cn:80 ssl:default [None]
882,epfindia.gov.in,Connection timeout to host https://www.epfindia.gov.in/
898,chinayigui.com,Connection timeout to host http://chinayigui.com
900,sanjesh.org,Connection timeout to host http://sanjesh.org
907,mybigcommerce.com,'Cannot connect to host mybigcommerce.com:80 ssl:default [Connect call failed (''104.195.80.2'', 80)]'
909,guifun.com,Cannot connect to host guifun.com:80 ssl:default [None]
930,akamaized.net,Cannot connect to host akamaized.net:80 ssl:default [None]
943,morningpost.com.cn,Cannot connect to host morningpost.com.cn:80 ssl:default [None]
944,adbtc.top,'503, message=''Service Temporarily Unavailable'', url=URL(''https://adbtc.top/'')'
948,xabbs.com,
952,chinachugui.com,Connection timeout to host http://chinachugui.com
962,mirconnect.ru,Cannot connect to host mirconnect.ru:80 ssl:default [None]
964,uidai.gov.in,Connection timeout to host http://uidai.gov.in
973,thebestgame2020.com,'403, message=''Forbidden'', url=URL(''http://thebestgame2020.com'')'
988,qdn.cn,'403, message=''Forbidden'', url=URL(''http://qdn.cn'')'
990,huya.com,
993,ytimg.com,Cannot connect to host ytimg.com:80 ssl:default [None]
999,yodobashi.com,Cannot connect to host yodobashi.com:80 ssl:default [None]
1017,xianjichina.com,Cannot connect to host xianjichina.com:80 ssl:default [None]
1022,rediffmailpro.com,
1063,sf-express.com,Cannot connect to host sf-express.com:80 ssl:default [None]
1082,nordstrom.com,
